Place ID,Visit Link,Place Name,Image Link,Description,Package,Rating,Best time,city,state,Predicted_Tag,combined_text,similarity
1718,https://www.holidify.com/places/delhi/india-gate-sightseeing-1718.html,India Gate,https://www.holidify.com/images/cmsuploads/compressed/5621259188_e74d63cb05_b_20180302140149.jpg,"India Gate is a war memorial located in New Delhi, along the Rajpath. It is dedicated to the 82,000 soldiers, both Indian and British, who died during the First World War and the Third Anglo-Afghan War. India Gate looks stunning at night with the fountain displaying colourful lights. The surrounding lush green lawns are a popular picnic spot. The Amar Jawan Jyoti is also located here.",4299,4.8, October to March,New Delhi,Delhi,Monument,"India Gate India Gate is a war memorial located in New Delhi, along the Rajpath. It is dedicated to the 82,000 soldiers, both Indian and British, who died during the First World War and the Third Anglo-Afghan War. India Gate looks stunning at night with the fountain displaying colourful lights. The surrounding lush green lawns are a popular picnic spot. The Amar Jawan Jyoti is also located here. Monument  October to March New Delhi Delhi",0.09080143
1731,https://www.holidify.com/places/delhi/red-fort-sightseeing-1731.html,Red Fort,https://www.holidify.com/images/cmsuploads/compressed/Delhi_Red_fort_20190312151147.jpg,"The Red Fort is a historical fort in the old Delhi area, on the banks of Yamuna. Shah Jahan constructed it in 1639 as a result of a capital shift from Agra to Delhi. Built from red sandstone, it is home to several museums. Every year, the Indian Prime Minister unfurls the national flag here on the Independence Day.",4299,4.7, October to March,Old Delhi,Delhi,Monument,"Red Fort The Red Fort is a historical fort in the old Delhi area, on the banks of Yamuna. Shah Jahan constructed it in 1639 as a result of a capital shift from Agra to Delhi. Built from red sandstone, it is home to several museums. Every year, the Indian Prime Minister unfurls the national flag here on the Independence Day. Monument  October to March Old Delhi Delhi",0.08201221
1727,https://www.holidify.com/places/delhi/qutub-minar-and-complex-sightseeing-1727.html,Qutub Minar,https://www.holidify.com/images/cmsuploads/compressed/Qutub_Minar_in_the_monsoons_20170908115259.jpg,"Qutub Minar is a minaret or a victory tower located in the Qutub complex, a UNESCO World Heritage Site in Delhi's Mehrauli area. With a height of 72.5 metres (238 ft), Qutub Minar is the second tallest monument of Delhi. The surrounding Qutub complex has lush green lawns which are popular picnic spot.",4299,4.8, October to March,Delhi,Ncr,Monument,"Qutub Minar Qutub Minar is a minaret or a victory tower located in the Qutub complex, a UNESCO World Heritage Site in Delhi's Mehrauli area. With a height of 72.5 metres (238 ft), Qutub Minar is the second tallest monument of Delhi. The surrounding Qutub complex has lush green lawns which are popular picnic spot. Monument  October to March Delhi Ncr",0.043677196
1723,https://www.holidify.com/places/delhi/lotus-temple-sightseeing-1723.html,Lotus Temple,https://www.holidify.com/images/cmsuploads/compressed/9713607938_4bd9507080_b_20180302141225.jpg,"Located in the national capital of New Delhi, the Lotus Temple is an edifice dedicated to the Baha'i faith. The magnificent structure of this building unfolds in the form of a stupendous white petal lotus and is one of the most visited establishments in the world. The design of this shrine was conceptualized by Canadian architect Fariborz Sahba and was completed in the year 1986.",4299,4.6, October to March,New Delhi,Delhi,Temple,"Lotus Temple Located in the national capital of New Delhi, the Lotus Temple is an edifice dedicated to the Baha'i faith. The magnificent structure of this building unfolds in the form of a stupendous white petal lotus and is one of the most visited establishments in the world. The design of this shrine was conceptualized by Canadian architect Fariborz Sahba and was completed in the year 1986. Temple  October to March New Delhi Delhi",-0.055347063
1717,https://www.holidify.com/places/delhi/humayuns-tomb-sightseeing-1717.html,Humayun's Tomb,https://www.holidify.com/images/cmsuploads/compressed/Humayun-tomb_20170809201316.jpg,"Humayun's tomb is the final resting place of the Mughal Emperor Humayun. Located in the Nizamuddin East area of Delhi, it is the first garden-tomb in India. This UNESCO World Heritage Site is known for the stunning typical Mughal architecture with Persian influences. The design of Humayun's tomb is a typical Mughal architecture with Persian influences and was conceptualised by Persian architect Mirak Mirza Ghiyath.",4299,4.7, October to March,New Delhi,Delhi,Tombs & Mausoleums,"Humayun's Tomb Humayun's tomb is the final resting place of the Mughal Emperor Humayun. Located in the Nizamuddin East area of Delhi, it is the first garden-tomb in India. This UNESCO World Heritage Site is known for the stunning typical Mughal architecture with Persian influences. The design of Humayun's tomb is a typical Mughal architecture with Persian influences and was conceptualised by Persian architect Mirak Mirza Ghiyath. Tombs & Mausoleums  October to March New Delhi Delhi",0.06246254
1732,https://www.holidify.com/places/delhi/swaminarayan-akshardham-temple-sightseeing-1732.html,Akshardham Temple Delhi,https://www.holidify.com/images/cmsuploads/compressed/attr_wiki_4067_20191212124026.jpg,"The Akshardham Temple, also known as Swaminarayan Akshardham is dedicated to Lord Swaminarayan. It is known for its stunning architecture. Akshardham complex is home to India's largest step well which is a host to the mesmerising water show each evening.",4299,4.8, October to March,New Delhi,Delhi,Monument,"Akshardham Temple Delhi The Akshardham Temple, also known as Swaminarayan Akshardham is dedicated to Lord Swaminarayan. It is known for its stunning architecture. Akshardham complex is home to India's largest step well which is a host to the mesmerising water show each evening. Monument  October to March New Delhi Delhi",0.099590205
1720,https://www.holidify.com/places/delhi/jama-masjid-sightseeing-1720.html,Jama Masjid Delhi,https://www.holidify.com/images/cmsuploads/compressed/crowd-of-people-gathering-near-jama-masjid-delhi-2989625_20200427110709.jpg,"Jama Masjid is the largest mosque in India built by Mughal Emperor Shah Jahan. The mosque hosts thousands of pilgrims each year on the holy occasion of Eid to offer special Namaz in the morning. Non-Muslims are not allowed inside the Masjid during Namaz offerings. One of the top attractions and best places to visit in Delhi, Jama Masjid gets a lot of tourist crowd other than the religious crowd.",4299,4.6, October to March,Old Delhi,Delhi,Mosque,"Jama Masjid Delhi Jama Masjid is the largest mosque in India built by Mughal Emperor Shah Jahan. The mosque hosts thousands of pilgrims each year on the holy occasion of Eid to offer special Namaz in the morning. Non-Muslims are not allowed inside the Masjid during Namaz offerings. One of the top attractions and best places to visit in Delhi, Jama Masjid gets a lot of tourist crowd other than the religious crowd. Mosque  October to March Old Delhi Delhi",0.032900635
1715,https://www.holidify.com/places/delhi/gurudwara-bangla-sahib-sightseeing-1715.html,Gurudwara Bangla Sahib,https://www.holidify.com/images/cmsuploads/compressed/BanglaSahib_20200417130034.jpg,"Gurudwara Bangla Sahib is one of the most important Sikh gurdwara, aka Sikh house of worship, in Delhi, India and known for its association with the eighth Sikh Guru, Guru Har Krishan, as well as the pool inside its complex, known as the 'Sarovar.' It was first built as a small temple by Sikh General Sardar Bhagel Singh in 1783, who supervised the construction of nine Sikh shrines in Delhi in the same year, during the reign of Mughal Emperor, Shah Alam II.",4299,4.8, October to March,New Delhi,Delhi,Temple,"Gurudwara Bangla Sahib Gurudwara Bangla Sahib is one of the most important Sikh gurdwara, aka Sikh house of worship, in Delhi, India and known for its association with the eighth Sikh Guru, Guru Har Krishan, as well as the pool inside its complex, known as the 'Sarovar.' It was first built as a small temple by Sikh General Sardar Bhagel Singh in 1783, who supervised the construction of nine Sikh shrines in Delhi in the same year, during the reign of Mughal Emperor, Shah Alam II. Temple  October to March New Delhi Delhi",-0.00916474
1722,https://www.holidify.com/places/delhi/lodhi-garden-sightseeing-1722.html,Lodhi Garden,https://www.holidify.com/images/cmsuploads/compressed/attr_wiki_1765_20191212124429.jpg,"Lodhi Gardens is a city park placed in New Delhi, spanning over 90 acres. It is a luscious garden that houses the tombs of Sayyid ruler Mohammed Shah and Lodhi King Sikandar Lodhi. It is situated between Khan Market and Safdarjung's Tomb on Lodhi Road and is a favorite spot for morning walks for the Delhiites.",4299,4.7, October to March,New Delhi,Delhi,Garden & Park,"Lodhi Garden Lodhi Gardens is a city park placed in New Delhi, spanning over 90 acres. It is a luscious garden that houses the tombs of Sayyid ruler Mohammed Shah and Lodhi King Sikandar Lodhi. It is situated between Khan Market and Safdarjung's Tomb on Lodhi Road and is a favorite spot for morning walks for the Delhiites. Garden & Park  October to March New Delhi Delhi",0.10654184
1721,https://www.holidify.com/places/delhi/jantar-mantar-sightseeing-1721.html,"Jantar Mantar, Delhi",https://www.holidify.com/images/cmsuploads/compressed/800px-Jantar_Mantar_New_Delhi_Misra_Yantra_20200415103313.jpg,"Located in New Delhi, the Jantar Mantar was one of the five sites built by Maharaja Jai Singh II of Jaipur. The site consists of 13 architectural astronomy instruments. The main purpose of the observatory was to compile the astronomical tables and to predict the movement and timings of the sun, moon and planets.",4299,4.3, October to March,New Delhi,Delhi,Planetarium,"Jantar Mantar, Delhi Located in New Delhi, the Jantar Mantar was one of the five sites built by Maharaja Jai Singh II of Jaipur. The site consists of 13 architectural astronomy instruments. The main purpose of the observatory was to compile the astronomical tables and to predict the movement and timings of the sun, moon and planets. Planetarium  October to March New Delhi Delhi",0.054934572
1730,https://www.holidify.com/places/delhi/rashtrapati-bhavan-sightseeing-1730.html,Rashtrapati Bhavan,https://www.holidify.com/images/cmsuploads/compressed/RASHTRAPATI_BHAVAN_20170809125606.jpg,Rashtrapati Bhawan is a famous monument of the British Empire which was said to be the palace of the Viceroy of India. It is now the home of the President of India. It is considered to be the best-known monument in India next to Taj Mahal and Qutub Minar.,4299,4.6, October to March,New Delhi,Delhi,Forts & Palaces,Rashtrapati Bhavan Rashtrapati Bhawan is a famous monument of the British Empire which was said to be the palace of the Viceroy of India. It is now the home of the President of India. It is considered to be the best-known monument in India next to Taj Mahal and Qutub Minar. Forts & Palaces  October to March New Delhi Delhi,0.057640582
1713,https://www.holidify.com/places/delhi/chandni-chowk-sightseeing-1713.html,Chandni Chowk,https://www.holidify.com/images/cmsuploads/compressed/-26975_10253_20170814163325.jpg,"One of the oldest markets in Old Delhi, Chandni Chowk is still an important historical site renowned for the availability of every kind of goods as well as food. It was Constructed in the 17th century by mughal ruler of India Shah Jahan. It is situated opposite the Red Fort and provides a view of the Fatehpuri Mosque.",4299,4.4, October to March,Old Delhi,Delhi,Forts & Palaces,"Chandni Chowk One of the oldest markets in Old Delhi, Chandni Chowk is still an important historical site renowned for the availability of every kind of goods as well as food. It was Constructed in the 17th century by mughal ruler of India Shah Jahan. It is situated opposite the Red Fort and provides a view of the Fatehpuri Mosque. Forts & Palaces  October to March Old Delhi Delhi",0.113721654
1714,https://www.holidify.com/places/delhi/connaught-place-sightseeing-1714.html,Connaught Place,https://www.holidify.com/images/cmsuploads/compressed/Connaught_Place_Delhi_egyik_legnagyobb_kereskedelmi_kzpontja._Fortepan_93650_20201215100725.jpg,"Officially named Rajiv Chowk, Connaught Place is better known as CP amongst the locals. It is one of the largest commercial and business centers in Delhi, and has been designed in two concentric circles namely Connaught's Inner Circle and Connaught's Outer Circle. Known since British era, this market has its own elegance. Known to be the most iconic structure from Lutyens Delhi, this is also among one the top places to visit in Delhi.",4299,4.6, October to March,New Delhi,Delhi,Commercial Street,"Connaught Place Officially named Rajiv Chowk, Connaught Place is better known as CP amongst the locals. It is one of the largest commercial and business centers in Delhi, and has been designed in two concentric circles namely Connaught's Inner Circle and Connaught's Outer Circle. Known since British era, this market has its own elegance. Known to be the most iconic structure from Lutyens Delhi, this is also among one the top places to visit in Delhi. Commercial Street  October to March New Delhi Delhi",0.194218
1271411,https://www.holidify.com/pages/delhi-street-food-guide-1490.html,Delhi Street Food,https://media.holidify.com/images/cmsuploads/compressed/Best-Old-Delhi-famous-Street-Food-Places-to-Try--scaled_20241030142341.jpg,"Delhi street food is a vibrant blend of flavors, with iconic dishes like spicy chaat, butter-loaded parathas, and tangy golgappas that showcase the city’s culinary diversity. From Chandni Chowk’s savory snacks to the sweet treats of Bengali Market, Delhi's street food offers an unforgettable experience for every food lover.",4299,4.3, October to March,New Delhi,Delhi,Commercial Street,"Delhi Street Food Delhi street food is a vibrant blend of flavors, with iconic dishes like spicy chaat, butter-loaded parathas, and tangy golgappas that showcase the city’s culinary diversity. From Chandni Chowk’s savory snacks to the sweet treats of Bengali Market, Delhi's street food offers an unforgettable experience for every food lover. Commercial Street  October to March New Delhi Delhi",0.0879475
6224,https://www.holidify.com/places/delhi/agrasen-ki-baoli-sightseeing-6224.html,Agrasen ki Baoli,https://www.holidify.com/images/cmsuploads/compressed/baoli_20170829004212.PNG,"Also referred to as Agar Sain Ki Baoli or Ugrasen ki Baoli, this attraction is a historical monument situated on the Halley Road in New Delhi. A mosaic of different assortment of stones and rocks, Agrasen ki Baoli is a 60 meter long and 15 meter wide historical step well to stand atop 103 stone steps.",4299,4.5, October to March,New Delhi,Delhi,Monument,"Agrasen ki Baoli Also referred to as Agar Sain Ki Baoli or Ugrasen ki Baoli, this attraction is a historical monument situated on the Halley Road in New Delhi. A mosaic of different assortment of stones and rocks, Agrasen ki Baoli is a 60 meter long and 15 meter wide historical step well to stand atop 103 stone steps. Monument  October to March New Delhi Delhi",0.124473035
6214,https://www.holidify.com/places/delhi/hauz-khas-village-sightseeing-6214.html,Hauz Khas Village,https://www.holidify.com/images/cmsuploads/compressed/5369_20200118141227.jpg,"An affluent neighbourhood in South Delhi, Hauz Khas Village or 'HKV' is known for its electric nightlife with countless cafes, bars and pubs along with art galleries, and boutiques and is amongst the top hip places to visit in Delhi other than a heritage site. The area is also dotted with domed structures which are tombs of royalties during the 14th to 16th century.",4299,4.3, October to March,South Delhi,Delhi,Monument,"Hauz Khas Village An affluent neighbourhood in South Delhi, Hauz Khas Village or 'HKV' is known for its electric nightlife with countless cafes, bars and pubs along with art galleries, and boutiques and is amongst the top hip places to visit in Delhi other than a heritage site. The area is also dotted with domed structures which are tombs of royalties during the 14th to 16th century. Monument  October to March South Delhi Delhi",0.17821608
6215,https://www.holidify.com/places/delhi/khan-market-sightseeing-6215.html,Khan Market,https://www.holidify.com/images/cmsuploads/compressed/Screenshot2020-12-15at10.11.28AM_20201215101232.png,"Khan Market is one of the hot spot and posh market in Delhi which serves as a perfect place for friends and family to hangout. Known to be one of the top places to visit in Delhi, the market has successfully held the essence of its original structure even in the times of rapid modernization. If you need to hang out late at night, Khan Market is the place for you as remains open till 12:00 AM.",4299,4.5, October to March,New Delhi,Delhi,Monument,"Khan Market Khan Market is one of the hot spot and posh market in Delhi which serves as a perfect place for friends and family to hangout. Known to be one of the top places to visit in Delhi, the market has successfully held the essence of its original structure even in the times of rapid modernization. If you need to hang out late at night, Khan Market is the place for you as remains open till 12:00 AM. Monument  October to March New Delhi Delhi",0.17351758
120847,https://www.holidify.com/places/delhi/dilli-haat-sightseeing-120847.html,Dilli Haat,https://www.holidify.com/images/cmsuploads/compressed/8614658612_ed32725d7b_k_20180322205638.jpg,"Designed to invoke the ambience of a traditional village fair, Dilli Haat is every shopper’s paradise, a foodie’s haven and the cultural magnet of the metro city. A flamboyant mix of vibrant colours and varied cultures, the bazaar is located in the commercial centre of South Delhi, bang opposite to the INA Market.",4299,4.3, October to March,New Delhi,Delhi,Commercial Street,"Dilli Haat Designed to invoke the ambience of a traditional village fair, Dilli Haat is every shopper’s paradise, a foodie’s haven and the cultural magnet of the metro city. A flamboyant mix of vibrant colours and varied cultures, the bazaar is located in the commercial centre of South Delhi, bang opposite to the INA Market. Commercial Street  October to March New Delhi Delhi",0.07514187
1724,https://www.holidify.com/places/delhi/national-zoological-park-sightseeing-1724.html,Delhi Zoo,https://www.holidify.com/images/cmsuploads/compressed/WhiteTiger_20200414170410.jpg,"Also known as Chidiya Ghar, Delhi Zoo is a favourite weekend spot among adults and children. From biggest cats to the tiniest birds, the zoo has all kinds of animals and birds. It has canteens inside for the visitors and battery-operated vehicles.",4299,4.3, October to March,New Delhi,Delhi,Zoo,"Delhi Zoo Also known as Chidiya Ghar, Delhi Zoo is a favourite weekend spot among adults and children. From biggest cats to the tiniest birds, the zoo has all kinds of animals and birds. It has canteens inside for the visitors and battery-operated vehicles. Zoo  October to March New Delhi Delhi",0.16301371
120850,https://www.holidify.com/places/delhi/purana-qila-sightseeing-120850.html,Purana Qila,https://www.holidify.com/images/cmsuploads/compressed/5899925452_2953fecabd_o_20180322222153.jpg,"Stoically standing in the placid vicinity of Indraprastha, Purana Qila or the Old Fort is a masterpiece of the ancient glory and sterling architecture of the bygone Mughal Empire, and is one of the oldest forts in Delhi. Built on the banks of river Yamuna and spread over a vast 1.5 kms of area, the monument has tons of myths and legends of the medieval era attached to it.",4299,4.5, October to March,New Delhi,Delhi,Monument,"Purana Qila Stoically standing in the placid vicinity of Indraprastha, Purana Qila or the Old Fort is a masterpiece of the ancient glory and sterling architecture of the bygone Mughal Empire, and is one of the oldest forts in Delhi. Built on the banks of river Yamuna and spread over a vast 1.5 kms of area, the monument has tons of myths and legends of the medieval era attached to it. Monument  October to March New Delhi Delhi",0.06239137
120855,https://www.holidify.com/places/delhi/sarojini-market-sightseeing-120855.html,Sarojini Market,https://media.holidify.com/images/cmsuploads/compressed/1648132414sarojini-nagar-market_20250128214643_20250128214712.jpg,"Vibrantly coloured clothes strewn all over, tiny food stalls crammed in every nook, a loud cacophony of the salesboys - welcome to Sarojini Nagar, the most hep and trendy market of Delhi. Popularly known as bargain bazaar and every girl’s shopping paradise, this flea market has more to offer to women in comparison to men, in terms of clothing, footwear, kitchen utensils, accessories and cosmetics.",4299,4.5, October to March,New Delhi,Delhi,Commercial Street,"Sarojini Market Vibrantly coloured clothes strewn all over, tiny food stalls crammed in every nook, a loud cacophony of the salesboys - welcome to Sarojini Nagar, the most hep and trendy market of Delhi. Popularly known as bargain bazaar and every girl’s shopping paradise, this flea market has more to offer to women in comparison to men, in terms of clothing, footwear, kitchen utensils, accessories and cosmetics. Commercial Street  October to March New Delhi Delhi",0.27430794
1266252,https://www.holidify.com/places/delhi/pradhanmantri-sangrahalaya-sightseeing-1266252.html,Pradhanmantri Sangrahalaya,https://www.holidify.com/images/cmsuploads/compressed/xboAAu1kLjRyZoOySwcAc7wiUh15nZ06OcJhnmYN_20221006143505.jpeg,"The Prime Ministers’ Museum or the Pradhanmantri Sangrahalaya was inaugurated by Prime Minister Narendra Modi on 14th April 2022. Located next to the Nehru Memorial Museum and Library (NMML) on Teen Murti Marg, the museum pays tribute to all the Prime Ministers of India since Independence. Besides memorabilia, there is an audio and visual tour of speeches from the Red Fort and a virtual helicopter ride.",4299,4.7, October to March,New Delhi,Delhi,Monument,"Pradhanmantri Sangrahalaya The Prime Ministers’ Museum or the Pradhanmantri Sangrahalaya was inaugurated by Prime Minister Narendra Modi on 14th April 2022. Located next to the Nehru Memorial Museum and Library (NMML) on Teen Murti Marg, the museum pays tribute to all the Prime Ministers of India since Independence. Besides memorabilia, there is an audio and visual tour of speeches from the Red Fort and a virtual helicopter ride. Monument  October to March New Delhi Delhi",0.050140016
120851,https://www.holidify.com/places/delhi/national-museum-sightseeing-120851.html,"National Museum, Delhi",https://www.holidify.com/images/cmsuploads/compressed/800px-India_national_museum_01_20180323100830.jpg,"Also known as the National Museum of India, the National Museum in New Delhi is one the largest museums in India, situated on the corner of the Janpath and Maulana Azad Road. Established in 1949, the blueprints of the majestic repository were prepared by the Gwyer Committee set up by the Government of India in 1946.",4299,4.6, October to March,New Delhi,Delhi,Museum,"National Museum, Delhi Also known as the National Museum of India, the National Museum in New Delhi is one the largest museums in India, situated on the corner of the Janpath and Maulana Azad Road. Established in 1949, the blueprints of the majestic repository were prepared by the Gwyer Committee set up by the Government of India in 1946. Museum  October to March New Delhi Delhi",0.009254295
120671,https://www.holidify.com/places/delhi/national-gallery-of-modern-art-sightseeing-120671.html,"National Gallery Of Modern Art, Delhi",https://media.holidify.com/images/cmsuploads/compressed/1280px-Steeltree-withutensils_20250128223327_20250128223354.jpg,"Following its motto of delivering an excellent world of art to its visitors, National Gallery of Modern Art, Delhi, preserves paintings and other artistic pieces dating back to 1850s. It houses a collection of more than 14,000 artworks which includes work that is as old as a hundred and fifty years.",4299,4.6, October to March,New Delhi,Delhi,Art Gallery,"National Gallery Of Modern Art, Delhi Following its motto of delivering an excellent world of art to its visitors, National Gallery of Modern Art, Delhi, preserves paintings and other artistic pieces dating back to 1850s. It houses a collection of more than 14,000 artworks which includes work that is as old as a hundred and fifty years. Art Gallery  October to March New Delhi Delhi",0.030673346
6216,https://www.holidify.com/places/delhi/mehrauli-archaeological-park-sightseeing-6216.html,Mehrauli Archaeological Park,https://www.holidify.com/images/cmsuploads/compressed/MAP_20200424131540.jpg,"The Mehrauli Archaeological Park is a 200-acre archaeological site home to more than 100 magnificent monuments, and tombs from the 10th century to the British era. Some prominent monuments here are tombs of Balban and Quli Khan, Jamali Kamali mosque, and Rajon ki Baoli among others.",4299,4.5, October to March,South Delhi,Delhi,Historical Site,"Mehrauli Archaeological Park The Mehrauli Archaeological Park is a 200-acre archaeological site home to more than 100 magnificent monuments, and tombs from the 10th century to the British era. Some prominent monuments here are tombs of Balban and Quli Khan, Jamali Kamali mosque, and Rajon ki Baoli among others. Historical Site  October to March South Delhi Delhi",0.18768372
124952,https://www.holidify.com/pages/sunder-nursery-5689.html,Sunder Nursery,https://media.holidify.com/images/cmsuploads/compressed/SunderNurserySep-2019_20250128225454_20250128225525.jpg,"Sunder Nursery (also known as Central Park) is a park complex situated adjacent to Humayun's Tomb, Built in the 16th century, the park was originally known as Azim Bagh. Sprawling over a whopping 90 acres of land, the park is home to 300 types of trees.",4299,4.3, October to March,New Delhi,Delhi,Garden & Park,"Sunder Nursery Sunder Nursery (also known as Central Park) is a park complex situated adjacent to Humayun's Tomb, Built in the 16th century, the park was originally known as Azim Bagh. Sprawling over a whopping 90 acres of land, the park is home to 300 types of trees. Garden & Park  October to March New Delhi Delhi",0.17529148
120846,https://www.holidify.com/places/delhi/safdarjung-tomb-sightseeing-120846.html,Safdarjung Tomb,https://www.holidify.com/images/cmsuploads/compressed/5759388052_778a9df8b8_b_20180322203412.jpg,"Built in 1754, during the reign of Mughal Emperor- Ahmad Shah Bahadur, the namesake tomb is dedicated to the Prime Minister of the court- Safdarjung. Located in the heart of the city, at the junction of Safdarjung Road and Aurobindo Marg, the monument is a low-key tourist attraction of the city.",4299,4.5, October to March,New Delhi,Delhi,Monument,"Safdarjung Tomb Built in 1754, during the reign of Mughal Emperor- Ahmad Shah Bahadur, the namesake tomb is dedicated to the Prime Minister of the court- Safdarjung. Located in the heart of the city, at the junction of Safdarjung Road and Aurobindo Marg, the monument is a low-key tourist attraction of the city. Monument  October to March New Delhi Delhi",0.07751468
120848,https://www.holidify.com/places/delhi/garden-of-five-senses-sightseeing-120848.html,Garden of Five Senses,https://www.holidify.com/images/cmsuploads/compressed/5461519589_044d05ab71_b_20180328105209.jpg,"Located in the poised Said-ul-Ajaib, the Garden of Five Senses is designed to stimulate your senses of touch, sight, smell, sound and taste and is a paradise for nature’s lovers. It is spread across 20 acres and has various themed parks, Mughal baghs, pools of water lilies, solar energy park, themed decor and many other attractions.",4299,4.4, October to March,South Delhi,Delhi,Garden & Park,"Garden of Five Senses Located in the poised Said-ul-Ajaib, the Garden of Five Senses is designed to stimulate your senses of touch, sight, smell, sound and taste and is a paradise for nature’s lovers. It is spread across 20 acres and has various themed parks, Mughal baghs, pools of water lilies, solar energy park, themed decor and many other attractions. Garden & Park  October to March South Delhi Delhi",0.160442
